,0
adspurg,81
adstad,3
adulyadej,2
advanc,1
advanced,3
advar,164
advared,31
advarsel,39
advarselsflag,2
advarselslamp,5
advarselsregist,1
advarselstegn,1
advarsl,47
adventshyg,1
advisory,1
advocat,4
advokat,227
advokatbistand,2
advokatfirma,8
advokatgloria,2
advokatkontor,3
advokatpraksis,1
advokatsekretærarbejd,3
advokaturchef,5
ae,70
aed,4
aerodynamik,3
aerodynamisk,3
aerosol,10
aerospac,1
aesthetic,1
af,7
afandrew,2
afarbejd,1
afart,2
afat,2
afbalanc,2
afbenytning,1
afbland,2
afbleg,1
afblæs,6
afblæst,12
afbrud,40
afbryd,29
afbrystkræft,1
afbræk,4
afbrød,8
afbrøddennis,1
afbud,5
afbureaukratis,2
afbureaukratisering,8
afburgerkæd,2
afbød,4
afbøded,2
afbødning,1
afbødningsstrategi,1
afd,13
afdelin,2
afdeling,1537
afdelingbed,1
afdelingfik,1
afdelingforsøg,2
afdelingpå,13
afdelingschef,12
afdelingsjordemod,3
afdelingsled,21
afdelingslæg,26
afdelingssygeplejersk,66
afdelingstillidsmand,1
afdem,3
afdrag,13
afdragsperiod,1
afdramatis,1
afduo,1
afdæk,40
afdækked,3
afdækning,3
afdæmp,3
afdød,102
afdødepatient,4
afen,3
afet,1
affair,2
affald,21
affaldscontain,1
affaldspos,1
affaldssektor,1
affaldssort,2
affaldsstof,1
affaldssæk,4
affamili,2
affand,2
affarv,2
affected,2
affejning,2
affek,5
affind,4
affl,1
affolkning,2
affyr,42
affyred,8
affær,43
affærd,1
affød,20
affødted,2
afføring,96
afføringforsk,1
afføringsbesvær,1
afføringsmiddel,3
afføringsmidl,1
afføringsmønst,2
afføringsproblem,7
afføringsskam,2
afføringstabu,1
afgang,24
afgangseksam,11
afgangselev,1
afgangsklas,1
afgangsprøv,8
afgav,7
afghan,26
afghanistan,138
afghanistankommission,12
afghansk,40
afgift,47
afgiftning,1
afgiftslet,4
afgiftsnedsæt,4
afgik,16
afgiv,36
afgjord,12
afgjort,52
afgjorti,2
afgodtgørelsespeng,2
afgrund,3
afgræns,7
afgrænsning,2
afgrød,4
afgå,24
afgåendeformand,1
afgår,3
afgør,537
afgørelsesom,1
afhandling,2
afhang,6
afhent,3
afhentning,5
afhjemmestrik,1
afhjulp,4
afhjælp,47
afhold,104
afhugged,1
afhvid,3
afhænd,1
afhæng,209
afhængigaf,1
afhængighedsskab,2
afhør,29
afhøring,38
afhøringsarbejd,1
afhøringsled,2
afhøringsrum,3
afhørt,63
afhørttirsdag,2
afhøvl,2
afilt,1
afinnovationsminist,1
afislam,1
afisol,1
afkald,10
afkalk,2
afkast,5
afkategoris,1
afklar,54
afklaring,43
afklæd,8
afkobl,1
afkod,1
afkom,1
afkort,1
afkrog,2
afkronisk,1
afkræft,16
afkræfted,3
afkræv,2
afkunstn,2
afkøl,2
afkørsl,1
aflag,4
aflang,4
aflast,29
aflastning,13
aflastningsfamili,4
aflastningssted,2
afled,17
afledning,2
afledningsmanøvr,2
aflej,1
aflev,83
aflever,1
aflevering,10
aflist,1
afliv,40
aflivning,9
aflukked,2
aflukning,2
aflur,4
aflured,2
aflys,61
aflysning,35
aflyst,108
aflytning,4
aflåst,5
aflæg,8
aflæggebesøg,1
aflær,1
aflæs,11
afløb,1
afløbsdæksel,2
afløbsr,2
afløbsrens,2
aflønning,4
afløs,38
afløsning,1
afløst,11
afmag,34
afmagred,1
afmagring,1
afmagtsføl,2
afmand,1
afmangl,2
afmatning,1
afmauric,1
afmeld,1
afmindst,4
afmotion,1
afmæg,2
afnetop,2
afnil,31
afnottingham,1
afom,2
aforgandonation,1
afp,78
afpag,1
afpas,1
afpatient,1
afpilled,1
afpres,1
afpresning,3
afprogram,1
afprøv,23
afprøved,1
afpär,1
afpædagog,1
afrapportering,4
afregn,1
afregning,2
afreguleringendedik,1
afrejs,6
afretsvæsen,2
africa,1
african,2
afrika,113
afrikan,11
afrikansk,42
afroamerikansk,4
afs,10
afsag,23
afsat,132
afsavn,13
afsend,13
afsenderland,2
afseng,2
afsid,8
afsideslig,6
afsig,2
afsin,1
afsind,3
afsjæled,3
afskadestu,2
afskaf,143
afskaffed,4
afskafuddloft,3
afskar,3
afsked,59
afskedig,9
afskedigerpersonal,2
afskedsbrev,18
afskedshils,1
afskedshilsn,2
afskedstal,2
afskrev,3
afskriv,6
afskræk,3
afsky,9
afskygning,2
afskår,6
afskærm,2
afskærmed,4
afslag,73
afslap,13
afslapning,2
afslog,8
afslut,155
afslutning,56
afslutningfor,2
afslutningsdebat,1
afslutningsfest,2
afslutningsvis,5
afslutningsvist,2
afslutted,38
afsluttetog,1
afslå,4
afslør,147
afsløred,42
afsløreri,2
afsløring,34
afsma,1
afsmag,1
afsnit,250
afsnitpå,2
afsnitsled,6
afson,38
afsoned,4
afsoning,17
afspads,4
afspadsering,3
afspejl,44
afspejled,1
afspil,10
afspilled,2
afspilning,6
afspor,4
afspritning,2
afspændingsmidl,2
afspær,11
afspærred,5
afspærring,3
afspærringsbånd,2
afspærringstap,2
afstamning,10
afstand,220
afstandskrav,1
afstandtag,4
afsted,152
afstemning,87
afstemningsboks,1
afstemningsregl,4
afstemningsrund,2
afstemningssted,1
afstik,4
afstiv,1
afstraf,6
afstres,3
afstump,2
afstød,1
afsygehuserhverved,1
afsæt,83
afsætning,2
afsætte,1
afsættesek,10
afsøvnløs,3
aft,722
aftabuis,2
aftag,19
aftal,914
aftale,1
aftalebeskyt,1
aftalebrud,2
aftaleforslag,1
aftalemodel,1
aftalepart,5
aftaleparti,14
aftaleregulering,1
aftalesystem,2
aftaletekst,3
aftalt,99
aftaltforind,1
aften,201
aftenarbejd,6
aftenarrangement,2
aftenblad,2
aftenbøn,1
aftend,1
aftenfik,2
aftenhiml,3
aftenkaf,2
aftenmåltid,1
aftenpasning,3
aftensend,1
aftensmad,30
aftensmadstid,2
aftensol,2
aftensøbad,2
aftentim,3
aftenvag,22
afterparti,2
aftj,2
aftjent,2
aftog,9
aftonblad,8
aftryk,15
aftræk,4
aftv,2
aftvang,1
aftving,3
aftyndtarm,2
afv,10
afvaccin,1
afvandring,2
afvaskning,1
afvej,5
afvejning,6
afveksling,1
afvent,33
afvented,2
afvib,2
afvikl,44
afvikling,11
afvindu,2
afvis,255
afviserat,4
afvisning,14
afvist,308
afvistedengang,2
afvistpå,2
afvæbning,2
afvænning,2
afværg,22
afværgelæsion,6
afweekend,2
agail,1
again,2
against,1
agath,1
agatha,24
age,4
agency,15
agenda,2
agent,9
agenterog,2
agentfilm,2
ager,44
agerbæk,1
agered,5
agergaard,2
agerkvist,3
ages,1
agf,5
agg,14
aggerstrøm,2
aggresiv,2
aggression,3
aggressiv,63
aggressivit,3
aggressivt,12
agi,1
agirait,1
agit,1
agn,21
agnet,2
ago,4
agorafobi,9
agostino,1
agt,16
agted,1
agterskib,2
agterst,2
agterud,2
agtpågiv,1
agtpågiven,1
aguilera,16
agurk,2
agustina,7
ah,2
aha,3
ahl,7
ahlefeld,4
ahlgr,2
ahm,43
ahmad,24
ahmadi,1
ahmadinejad,2
ahmed,7
ahmt,1
ahora,1
ahrend,2
ahrendts,1
ahsan,2
aid,16
aida,1
aidem,1
aidsfond,8
aigl,2
aik,4
aila,2
ain,7
aina,3
air,33
airbag,3
aircondition,3
airlin,7
airport,10
airtrack,3
airway,4
aisha,6
aistrup,29
aistruphans,1
aja,3
ajax,5
ajour,1
ak,12
aka,3
akach,28
akademi,25
akademihar,1
akademik,77
akademikerformand,2
akademikerløn,1
akademikernehar,3
akademikernetakked,1
akademis,3
akademisering,1
akademisk,29
akav,8
akbaruddin,2
akca,14
akdogan,2
akil,2
akilleshæl,3
akklimatis,2
akklimatisering,2
akkompagn,3
akkordløn,5
akkordlønning,2
akkredit,1
akkurat,13
akneproblem,3
akrani,4
akropolis,2
aks,2
aksel,3
akt,7
akti,38
aktieindkomstskat,1
aktiekurs,3
aktiemarked,4
aktieomsætningsafgift,3
aktiepost,3
aktiesparekonto,3
aktinds,82
aktindsigtsanmodning,2
aktindsigtvis,2
aktion,93
aktionsform,1
aktionsstyrk,7
aktionær,2
aktiv,247
aktivering,9
aktivism,3
aktivist,17
aktivistgrup,10
aktivistisk,4
aktivistmor,2
aktivit,52
aktivitet,82
aktivitetscentr,3
aktivitetsefterslæb,1
aktivitetsniveau,8
aktivstof,2
aktivsund,1
aktivt,75
aktivtforud,1
aktivtilgang,1
aktstyk,1
aktualit,5
aktuel,69
aktuelt,30
aktutpak,2
aktv,1
aktør,11
akustisk,2
akut,442
akutafdeling,77
akutafsnit,1
akutarbejd,1
akutberedskab,100
akutbil,16
akutcentral,1
akutdækning,1
akutfunktion,2
akuthelikopt,2
akuthenvend,1
akuthjælp,3
akuthospital,2
akuthus,2
akuthåndtering,1
akutindlag,2
akutindlæg,3
akutindsats,1
akutjob,28
akutjobordning,6
akutklinik,10
akutknap,1
akutkørsl,1
akutlid,1
akutlinj,9
akutlist,5
akutlæg,17
akutlægebil,35
akutlægehelikopt,8
akutløft,1
akutmedicin,4
akutmedicinsk,2
akutmodtag,146
akutnum,4
akutnumr,1
akutområd,6
akutoper,1
akutopkald,1
akutordning,17
akutpak,43
akutpatient,1
akutplad,1
akutplads,1
akutplej,1
akutpræmi,2
akutsengeafsnit,2
akutsygehus,23
akutsygeplejersk,4
akutsystem,5
akutteam,2
akuttelefon,231
akuttelefonlinj,2
akuttilbud,1
akutudvalg,1
akutudvalgsrapport,1
akvilekondratenko,6
al,350
alabama,74
alaikoum,1
alain,12
alameda,2
alameh,2
alami,2
alan,9
alana,1
alanarnet,3
alarm,118
alarmberedskab,14
alarmcenral,2
alarmcentral,89
alarmklok,17
alarmknap,2
alarmnum,4
alarmoperatør,8
alarmopkald,19
alarmsystem,4
alarmtelefon,4
alaska,54
alaskaguvernør,1
alastair,1
albani,9
albansk,2
albany,1
albeidis,1
albert,151
alberto,3
alberts,4
albertslund,17
albertvil,1
albrects,6
albu,7
album,34
albuquerqu,54
alcorcon,1
alcorcón,1
ald,427
aldel,6
alderbedst,2
alderblev,1
alderdom,19
alderdomshjem,4
aldersdiskriminering,1
aldersgrup,33
aldersgræns,14
aldersintegr,4
aldersmæs,2
aldersopsparing,2
alderspræsident,1
aldersspektrum,2
alderstegn,1
aldersvaccination,1
aldi,4
aldimashqi,6
aldr,1333
aldrigbyt,1
aldrighar,2
aldrighavdedrømt,1
aldrigud,1
aldring,1
aleksand,5
aleksandr,1
alen,700
alenefar,1
aleneføl,2
alenemor,9
alenetid,5
alenezi,14
alenlang,2
aleppo,22
aleris,7
alert,2
alessandro,3
alessia,8
alessio,1
alex,31
alexand,30
alexandr,3
alexandra,20
alexandria,2
alexandro,1
alexei,2
alexey,1
alexiou,1
alexis,6
alexsand,2
alexsandr,10
alfa,2
alfab,1
alfabet,3
alfayed,1
alfred,10
alfredfald,1
alfredo,6
algad,1
algeri,12
algerisk,1
algoritm,12
ali,36
alias,4
alibaba,6
alibi,4
alic,1
alicant,3
aliemteam,1
alienag,2
alingså,5
alis,1
alison,6
aliv,5
alk,3
alka,4
alkohol,119
alkoholafhæng,5
alkoholbas,1
alkoholbehandlingssted,3
alkoholdindtag,2
alkoholforbrug,7
alkoholforgiftning,2
alkoholfyld,2
alkoholik,8
alkoholindtag,3
alkoholis,1
alkoholmisbrug,12
alkoholpolitik,1
alkoholproblem,7
alkoholtåg,2
alkolinj,18
all,5472
alla,3
allah,10
allan,95
allebørn,2
alled,2
allegedly,1
allegra,4
allehalstørklæd,1
allekontanthjælpsmodtag,4
allemandsej,3
allemu,1
alleorganisation,2
allerbedst,17
allerdej,2
allerdyrest,1
allerdår,1
alleredesat,10
allerfar,2
allerfjernest,1
allerflest,7
allerforrest,5
allerfærrest,1
allerførst,12
allergen,1
allergi,47
allergiend,1
allergierog,2
allergik,1
allergilæg,1
allergimedicin,1
allergiproblem,1
allergisk,15
allergisygdom,1
allergitest,1
allergiven,2
allerhel,1
allerhelst,15
allerhårdest,5
allerhøjest,8
allerlængst,2
allermest,78
allermindst,1
allernyest,2
allernærmest,12
allerrigest,2
allersidst,22
allerstørst,21
allersvagest,9
allersværest,2
allertid,1
allertyd,2
allervarmest,2
allervig,22
allerværst,7
alleryderst,2
alleryngst,1
allerældst,1
allerød,6
allerøverst,4
allesam,24
allestedsnærvær,2
allesø,2
alletid,2
allevar,4
allez,2
allgemein,3
alli,12
allianc,142
alliancehensyn,3
allianceog,2
alligevel,834
alligevelat,1
alligevelkryb,3
alling,3
allingåbro,1
allison,34
allowed,1
allred,4
allround,2
allstar,1
allé,7
alléskol,4
alm,139
alma,33
almdal,1
almegård,1
almenbefolkning,1
almenboliglov,1
almennyt,1
almenpraksis,2
alment,9
almind,473
almindeligtliv,2
almindeligvis,4
almoder,1
aln,4
alnashabia,2
alnor,2
alonso,1
alonsomed,1
alopecia,2
alp,3
alpeafsnit,2
alpejæg,2
alpeland,1
alpesh,2
alpha,3
alphabeatsang,1
alpi,2
alprazolam,4
already,1
alrum,1
alrø,2
als,46
alsbæk,1
alsid,4
alsk,2
alslev,8
alsmed,1
alssundbro,1
alsted,2
alstrup,10
alt,6
altafgør,28
altameemi,5
altan,18
altandør,2
altdomin,1
alternativ,219
alternativerog,1
alternativt,11
altfor,2
altfordam,1
alti,2
altid,1165
altidhensigtsmæs,2
alting,83
alton,1
altopslug,2
altoverskyg,13
altovervej,2
altsam,3
altschul,4
altså,859
altsåmu,1
altsåtilbyd,1
altvar,2
altødelæg,1
aluminium,10
alvarez,1
alverd,30
alverdensfarv,1
alvi,2
alvid,2
alvilda,2
alvor,1253
alvorog,2
alvorsfuld,1
alway,1
alzheim,24
alzheimerforening,7
alzheimerpatient,1
am,2
amadeus,28
amag,107
amagerbro,10
amagercentr,3
amagerport,2
amal,40
amali,9
amalienborg,2
amanda,11
amaq,2
amato,11
amatør,2
amatørag,2
amatørboks,1
amatørspil,1
amaury,1
amavir,1
amazing,6
amazon,4
amazona,4
amazonregion,2
amb,22
ambassad,53
ambassadekvart,2
ambassadør,32
ambition,102
ambitionsniveau,2
ambitiøs,34
ambitiøst,2
ambivalent,3
ambolt,8
ambro,2
ambrosius,6
ambrosy,2
ambulanc,322
ambulanceberedskab,2
ambulancebår,2
ambulancechef,2
ambulanceerfaring,2
ambulancefly,3
ambulancefolk,11
ambulancefolkenekom,1
ambulancehelikopt,3
ambulancehjælp,1
ambulanceindgang,8
ambulancekapacit,1
ambulancelæg,3
ambulanceområd,2
ambulancepersonal,2
ambulancered,25
ambulancermed,1
ambulanceselskab,1
ambulanceservic,1
ambulancesiren,2
ambulancestation,1
ambulancetjenest,4
ambulant,58
ambulatori,8
ambulatorieaktivit,1
ambulatorium,5
america,6
american,6
amerika,23
amerikan,159
amerikanereselv,3
amerikanerneund,2
amerikansk,531
amerikanskej,1
amerikanskled,6
amerikansksoldat,2
ameritech,2
amesh,1
amfetamin,10
amgro,5
amhxatxnpm,1
ami,2
amidst,2
amin,12
aminah,1
aminali,2
amk,5
amm,25
ammed,1
ammeforløb,2
ammeindlæg,2
ammeproblem,1
ammepud,2
ammerum,1
ammitzbøl,6
ammoniak,2
ammonium,12
ammoniumnitrat,3
ammons,4
ammunition,9
ammunitionslagr,1
amnesi,2
amnesti,2
amnesty,26
amning,22
amok,35
amoxicillin,1
amp,1
ampicillin,1
ampul,8
amput,14
amputation,4
amri,2
amsterdam,18
amt,36
amtsavis,1
amtsborgmest,2
amtspolitik,2
amtsråd,6
amtssygehus,1
amu,2
amunds,2
amy,12
amyotrofisk,3
an,84
ana,10
anafylaktisk,2
analfysiologisk,1
analprolap,4
analt,3
analys,227
analysearbejd,8
analysebureau,2
analysecent,9
analysechef,3
analyseen,1
analysefirma,4
analyseinstitut,6
analyseinstituttetwilk,1
analysekontor,2
analysemedarbejd,1
analysemetod,1
analysis,1
analytic,3
analytica,1
analytik,21
analytisk,2
anaplastisk,2
anarki,5
anarkist,3
anastasia,1
anatomibog,2
anbar,1
anbefal,188
anbefaled,41
anbefalerat,1
anbefaling,156
anbefalingom,1
anbrag,68
anbring,80
anbringelsesdom,8
anch,1
anchorag,27
anciennit,2
anciennitet,2
anciennitetskriteri,1
and,5347
andea,2
andedam,2
andel,121
andeled,1
andelsbevis,1
andelsbo,2
andelsboliglån,1
andelsforening,2
andelslej,4
andelsmarked,3
andelspris,1
andendag,2
andendos,1
andenforsikr,2
andenfødevar,2
andengangsgravidit,2
andengenerationsindvandr,2
andenkæmp,25
andenplad,1
andenplads,11
andenrang,1
andenrangsborg,6
andenrangssundhedsvæs,1
andenskul,2
andenverdenskr,5
anderkend,2
anderled,322
anderledes,2
anderledesendaschheim,1
anders,562
andersenfortæl,1
andersengå,1
andersenhar,1
andersenhusk,1
andersens,1
andersensarm,1
andersensvej,1
andersforsman,2
anderson,32
anderswivel,3
andesbjerg,1
andetafsnit,2
andetbedst,5
andetboligstør,1
andetbrag,2
andetbrug,2
andetd,1
andetda,3
andetfilm,1
andetfordi,2
andetlev,1
andetløb,2
andetog,3
andetom,3
andetpå,2
andetstadsud,2
andetsted,6
andetstieg,2
andettil,1
andettrækkes,1
andetøg,3
andi,27
andina,1
andorra,1
andr,4001
andrea,421
andread,1
andreas,16
andred,3
andrehar,1
andrejustin,2
andrelæng,5
andremen,1
andreogså,2
andreomkom,1
andrepatient,1
andres,4
andresaudi,1
andresmag,1
andresygeplejersk,2
andreteatergevand,1
andreth,1
andrew,91
andrewridgeley,1
andrews,3
andrey,1
andriano,1
andrjusjtjenko,6
android,8
andrés,2
andy,4
ane,88
aned,59
anekdot,6
anels,26
anemari,1
anencefali,2
aner,40
anerk,40
anerkend,222
anerled,2
anes,7
anestæsi,2
anestæsilæg,2
anet,72
aneurism,6
anfald,73
anfield,1
anfæg,7
anfægted,1
anfør,6
anført,19
ang,6
angav,4
angel,94
angela,19
angelika,2
angeliki,9
angelman,2
angelo,3
angi,3
angik,2
angiv,135
angivn,6
angleter,3
ango,1
angold,1
angr,6
angreb,334
angrebi,1
angrebn,1
angrebsivr,3
angrebskonkurrenc,6
angrebslystn,6
angrebsmand,1
angrebsmænd,1
angrebsplan,2
angrebsåbning,4
angred,2
angrib,83
angribekarvæg,2
angriberennicolai,3
angriberstorbond,2
angsprovok,2
angst,324
angstanfald,47
angstdiagnos,3
angstdæmp,3
angstforening,3
angstfuld,3
angstfyld,4
angstprovok,9
angstvar,3
angå,11
angår,45
anhold,363
anholdelserskyldteseuforis,2
anholdt,3
anholdtfor,2
anholdtkvind,2
anhæng,4
anim,1
animal,4
animation,1
animationsgrafik,2
animator,3
anis,2
aniston,1
anita,25
anja,76
anjem,2
ank,76
ankara,7
anked,14
ankel,6
ankenævn,5
ankerdal,4
ankersø,2
ankesag,17
ankestyr,7
ankl,2
anklag,440
anklagebænk,2
anklaged,22
anklagemynd,133
anklagemyndighedenog,1
anklagepunk,7
anklagermichael,2
anklageskrift,96
ankom,261
ankomog,1
ankomst,57
ankomsthal,3
ankomstsamtal,1
anlag,12
anledning,108
anlig,5
anliggend,3
anlæg,21
anlægsbranch,2
anlægsgartn,6
anmeld,124
anmod,27
anmoded,5
anmodning,19
anmærkning,4
ann,768
anna,200
annabel,1
annan,2
annegret,1
annek,20
anneks,10
annektering,2
annelis,7
annemari,6
annemet,5
annet,69
anni,75
annihøjgaard,1
annika,53
anno,2
annonc,78
annoncematerial,1
annoncering,3
announcing,1
annul,14
annullering,1
anny,2
annæ,7
anonym,44
anonymdonor,2
anonymis,8
anonymit,11
anonymt,30
anoreksi,2
anoreksipatient,1
anorektik,2
anormal,1
anormalitet,1
anpart,2
anpartsselskab,2
anprisning,2
anråb,3
ans,432
ansa,1
ansag,1
ansat,1486
ansattefremov,2
ansatteog,1
ansattetagerbeboernei,1
ansatteverbalt,2
ansbach,2
anse,6
ansigtsbehåring,3
ansigtsform,1
ansigtsløft,1
ansigtsløs,2
ansigtsmaling,2
ansigtsmask,10
ansigtsmuskl,1
ansigtstræk,4
ansigtsudtryk,6
anskaf,5
anskaffelsessum,1
anskaffet,2
anslog,9
anslå,22
anslår,29
anslårnationalt,1
anspor,3
anspore,1
anspored,1
ansporing,1
anspænd,15
anstift,3
anstreng,23
anstænd,21
ansvar,660
ansvarligfor,1
ansvarsbevidst,2
ansvarsforhold,1
ansvarsfuld,3
ansvarshav,3
ansvarsområd,4
ansvarsperson,2
ansvarspådrag,2
answ,2
answering,1
anså,2
ansæt,194
ansættelsesform,1
ansættelseslovgivning,2
ansættelsesproces,2
ansættelsesret,2
ansættelsessamtal,2
ansættelsesstop,3
ansættelsestop,2
ansættelsesudvalg,3
ansættelsesvilkår,5
ansøg,188
ansøgerfald,1
ansøgerfelt,3
ansøgertal,10
ansøgertalletkun,1
ansøgning,102
ansøgningerend,1
ansøgningskriteri,2
ansøgningsprocedur,2
ansøgningsproces,3
ansøgningstal,2
ant,3
antag,50
antal,1238
antalafhøring,2
antalletaf,1
antalletafansøg,1
antalår,1
antananarivo,1
antast,2
antena,1
anthony,31
anti,29
antiabort,2
antiautoritær,1
antibiotika,32
antibiotikabehandling,2
antidepressiv,23
antiepileptisk,1
antigen,2
antigentest,1
antihelt,3
antihistamin,3
antihormon,1
antihormonbehandling,2
antihormonindsprøjtning,2
antikvitet,1
antilop,2
antilopeart,1
antimuslimsk,1
antioprør,1
antiperspirant,1
antipsykotika,1
antipsykotisk,19
antiradikalisering,1
antistof,41
antistofbehandling,2
antistoftest,9
antisystemisk,2
antiterroren,2
antiterrorkorp,6
antiterrorsag,2
antivaccin,2
antivaccinationsforekæmp,2
antivaccineaktivist,2
antivaccinebevæg,4
antivaccinebevægelsennational,2
antivaccineorganisationenchildr,2
antog,9
anton,8
antonina,3
antonio,8
antons,18
antorini,6
antropolog,9
antropologisk,1
antræk,3
antvor,20
antwerp,1
antyd,18
antyded,15
antydning,6
antænd,4
anus,1
anv,37
anvend,45
anvendelsesproblem,1
anvis,1
anvisning,9
anvist,2
anwar,1
any,4
anyon,1
anything,2
anze,3
anæstesi,21
anæstesiafdeling,3
anæstesiafsnit,1
anæstesilæg,10
anæstesilægestod,2
anæstesiolog,8
anæstesiologi,9
anæstesiologisk,6
anæstesiskema,6
anæstesisygeplejersk,15
anæstesisygeplejerskeog,2
aoh,2
aorta,2
aortaaneurism,18
aoun,2
aowhnselco,1
ap,68
apart,1
apartheid,3
apartheidhelt,1
apartheidi,3
apati,4
apatisk,7
apiject,2
apm,1
apokalyps,2
apokalyptisk,2
apollo,1
apotek,53
apotekerforening,4
apotekerlov,2
apotekersektor,2
apotekerstræd,1
apoteksansat,2
apoteksassistent,2
apoteksfilial,2
apotekspersonal,2
apothek,1
app,46
apparat,40
apparatur,1
appear,4
appel,89
appeldomstol,2
appelplad,4
appelsin,2
appelsinhud,1
appelsinjuic,2
appena,3
appetit,20
appetitcent,3
appl,4
applaus,5
apprentic,3
april,408
aprilia,9
aprilskal,2
apropo,2
aps,2
apu,1
apv,4
aqua,5
ar,33
ara,3
arab,2
arabi,11
arabisk,29
arafat,2
arapaho,2
arbeid,2
arbeidstilsyn,4
arbejd,3908
arbejded,251
arbejdedepå,3
arbejdedes,1
arbejdedesam,2
arbejdeog,1
arbejderbevæg,64
arbejdercharlot,2
arbejderfamili,3
arbejderi,2
arbejderklas,2
arbejderklassekvart,2
arbejderparti,2
arbejderpartis,1
arbejdesom,2
arbejdeti,1
arbejdetihjel,2
arbejdetogrykkedetil,2
arbejdsbelastning,1
arbejdsbeting,3
arbejdsbidrag,3
arbejdsbuks,2
arbejdsbyrd,11
arbejdsdag,58
arbejdsdeling,1
arbejdsevn,4
arbejdsfelt,3
arbejdsforhold,49
arbejdsform,2
arbejdsformidling,1
arbejdsfront,1
arbejdsfunktion,1
arbejdsgang,55
arbejdsgiv,443
arbejdsgiverbetalt,8
arbejdsgivereat,2
arbejdsgiverforening,32
arbejdsgivernesog,1
arbejdsgiverorganisation,6
arbejdsgiversid,12
arbejdsglæd,21
arbejdsgrup,30
arbejdshold,2
arbejdsindkomst,2
arbejdsindsat,4
arbejdsindsats,2
arbejdsivr,10
arbejdskamp,1
arbejdsklar,2
arbejdsklausul,2
arbejdskonflik,4
arbejdskraft,108
arbejdskrav,2
arbejdskræv,1
arbejdslamp,1
arbejdsliv,56
arbejdslivforsk,1
arbejdslivsstudi,1
arbejdslyst,2
arbejdsløs,137
arbejdsløshedprocent,1
arbejdsløshedsdagpeng,1
arbejdsløshedsforsikring,7
arbejdsløshedssituation,2
arbejdsløshedssystem,1
arbejdsmandsforbund,2
arbejdsmarked,302
arbejdsmarkedetsområd,1
arbejdsmarkedsbidrag,6
arbejdsmarkedsforhold,3
arbejdsmarkedsforsk,60
arbejdsmarkedsforskning,1
arbejdsmarkedsfør,2
arbejdsmarkedskonflik,3
