,titles,sub_header,h2,content,author,tag,date,link,source
33,sygeplejersker skal søge til norge,"dansk sygeplejeråd opfordrer de ledige østjyske sygeplejersker til at tage til norge, hvor hospitalerne skriger hospitalerne efter arbejdskraft. ",vigtigt atfastholde dem,"tag til norge og få et job. det opfordrer dansk sygeplejeråd de mange ledige østjyske sygeplejersker til. for i norge skriger hospitalerne nemlig efter kvalificeret arbejdskraft. - vores erfaring viser, at hvis sygeplejerskerne ikke får arbejde, så er der en risiko for, at de forsvinder over i et andet fag, siger hanne jacobsen fra dansk sygeplejeråds kreds midtjylland. - ellers også forsætter de med en uddannelse i en helt andet retning, siger hun. - og det er vi slet ikke interesserede i. vi har brug for at fastholde dem som uddannede sygeplejersker, så de er der, når der kommer sygeplejejobs igen, hvad vi regner med der gør, siger hun. alene i region midtjylland går over 400 sygeplejersker ledige.",lene kok,Østjylland,2012-03-07 07:20:29+00:00,https://www.dr.dk/nyheder/regionale/oestjylland/sygeplejersker-skal-soege-til-norge,DR
34,læge og sygeplejersker er blevet opereret,en læge og to sygeplejersker er blevet opereret efter et knivoverfald fredag. operationerne er gået godt.,politiet venter tålmodigt,"en 34-årig mandlig læge og to kvindelige sygeplejersker på 30 og 34 år ligger nu på intensiv afdeling på odense universitetshospital, efter at de tidligere fredag blev knivoverfaldet af en patient på psykiatrisk afdeling. - de er alle tre blevet opereret, og det er gået godt, siger sygehusdirektør jens peter steensen. - de er alle tre i intensiv behandling, og den enes tilstand er kritisk, men jeg udtaler mig for dem alle tre som en gruppe, men for hvem af dem, det drejer sig om, kan jeg ikke sige, siger han. ifølge politiet drejer det sig dog om den 34-årige læge. han fik skåret maven op, mens den 34-årig sygeplejerske blev stukket i ansigtet og på brystet. en 30-årig kvinde fik perforeret bugvæggen. jens peter steensen understreger, at selv om operationerne er gået godt, så er situationen alvorlig. og han udelukker ikke, at der kan blive tale om flere operationer de kommende dage. den 47-årige psykisk syge knivstikker opholder sig fortsat på en sengestue, hvor han har været siden ved 10-tiden. imens venter politiet tålmodigt i håb om, at han vil komme ud frivilligt. ifølge politiinspektør bjarne sørensen har manden ikke fået bragt hverken mad eller drikke ind, mens forhandlingerne har stået på. - vi forsøger stadig at overtale ham til at komme frivilligt ud. der er en fornuftig dialog, men man skal ikke undervurdere, at det er en psykisk syg person, vi har med at gøre, siger politiinspektør bjarne sørensen. det er særligt uddannede forhandlere fra fyns politi, der er i kontakt med knivstikkeren. samtidig er et indtrængningshold af betjente klar til at rykke ind og sætte sig på situationen, hvis det pludseligt eskalerer.",hilmar vester,Indland,2012-03-16 18:18:00+00:00,https://www.dr.dk/nyheder/indland/laege-og-sygeplejersker-er-blevet-opereret,DR
35,kritik af akuttelefon er forfejlet,"dansk sygeplejeråd mener, at forbrugerrådet og lægeforeningens kritik af akuttelefonen i region hovedstaden er skudt ved siden af.",annoncekampagnes slogan får kritik,"telefonen bliver allerede brugt af mange borgere, og de specialuddannede sygeplejersker giver kompetent sundhedsfaglig vejledning, der bidrager til at nedbringe ventetiden på skadestuer. formand for dansk sygeplejeråd, grete christensen, mener, at forbrugerrådet og lægeforeningens kritik af den nye akuttelefon i region hovedstaden er forfejlet. - mange borgere bruger allerede akuttelefonen. og det giver rigtig god mening, at specialuddannede sygeplejersker hjælper borgerne med at finde ud af, om de skal tage på skadestuen, til praktiserende læge eller blot klare det med en varm kop te. på den måde forebygger man, at der bliver alt for lang ventetid på f.eks. skadestuen, siger grete christensen i en pressemeddelelse. det er blandt andet en annoncekampagne for den nye akuttelefon, som har fået forbrugerrådet og lægeforeningen op i det røde felt. de to organisationer mener, at kampagnens slogans ""varm te eller pencillin"" og ""træthed eller sygdom"" foregiver, at sygeplejersker kan stille diagnoser, og det er kritisabelt, lyder det. - jeg har normalt stor respekt for både forbrugerrådet og lægeforeningen. men i det her tilfælde skyder de forbi målet. de specialuddannede sygeplejersker giver råd og vejledning, de stiller ikke diagnoser. - jeg er optaget af, at finde effektive løsninger til borgerne, som ikke går på kompromis med den sundhedsfaglige kvalitet, og her er akuttelefonen et stærkt eksempel, siger grete christensen, formand for dansk sygepelejråd. ifølge region hovedstaden er der i gennemsnit 600 opkald til akuttelefonen i døgnet. og region hovedstaden afviser blankt forbrugerrådet og lægeforeningens kritik af akuttelefonen.",dr nyheder,Indland,2012-03-04 06:59:00+00:00,https://www.dr.dk/nyheder/indland/kritik-af-akuttelefon-er-forfejlet,DR
36,ouh bør ansætte flere sygeplejersker,"dansk sygeplejeråd opfordrer odense universitetshospital til at ansætte flere sygeplejersker, så ventetiden på kræftoperationer kan nedbringes.",,"dansk sygeplejeråd i region syddanmark opfordrer odense universitetshospital til at ansætte flere sygeplejersker, så ventetiden på kræftoperationer kan nedbringes. som vi har fortalt her på p4 fyn så har uro på mave-tarm-kirurgiske afdeling ført til mange aflyste operationer - ventelisterne for bugspytkirtelkræft er oppe på cirka fem uger, og de er stigende for andre kræfttyper på odense universitetshospital. nu har ledelsen på ouh muligheden for at få rettet op på problemerne ved at ansætte sygeplejersker. og der er ledige nok at tage af i regionen, siger kredsformand for dansk sygeplejeråd i syddanmark john christiansen ",lars timann esmarch,Fyn,2012-03-07 16:43:00+00:00,https://www.dr.dk/nyheder/regionale/fyn/ouh-boer-ansaette-flere-sygeplejersker,DR
37,region risikerer politisag efter knivstik,arbejdstilsynet langer hårdt ud efter psykiatrisk afdeling i odense efter et knivoverfald fredag.,strakspåbud kniv i tasken,"arbejdstilsynet overvejer, om der skal rejses en politisag mod region syddanmark for at have svigtet sikkerheden på den psykiatriske afdeling på odense universitetshospital. det sker, efter at en psykiatrisk patient smuglede en kniv ind på en afdeling og overfaldt en psykiater og to sygeplejersker i fredags. samtidig har arbejdstilsynet givet et strakspåbud om, at der skal strammes op på procedurerne omkring visitationen af patienterne øjeblikkeligt. hospitalets psykiatriske afdeling har fået syv dage til at svare på, hvordan man vil løse problemerne. - vi har ikke kunnet se i procedurerne eller få forklaret fra medarbejderne, hvordan der arbejdes helt konkret med visitering. hvilke metoder bruges der og hvor mange skal gøre det, siger tilsynschef mette thidemann. region syddanmark har fået besked på, at ""virksomheden straks skal sikre, at de ansatte er instrueret i, hvordan en visitation udføres, så man har sikkerhed for, at patienten ikke har genstande skjult, som kan anvendes til at volde andre skade."" det er de sjuskede og uklare retningslinier omkring visitering sammenholdt med risikoen ved en mangelfuld visitering af denne patientgruppen, der har ført til strakspåbudet. fredag blev en psykiater og to sygeplejersker overfaldet af en patient og stukket med en kniv på psykiatrisk afdeling på odense universitetshospital. tilstanden var for to af dem i længere tid kritisk, men er nu stabil. patienten havde en kniv med i tasken, da han mødte op på afdelingen, og det lykkedes ham at få den med ind, da han blev tvangsindlagt natten til torsdag, selvom han var blevet visiteret. en rapport fra arbejdstilsynet fra december 2011 viser, at der i længere tid har været alvorlige problemer med sikkerheden på den pågældende afdeling. rapporten konkluderer, at der er ""risiko for, at medarbejderne udsættes for vold og trusler med fysiske skader til følge"". det psykiatriske afsnit har været lukket siden overfaldet.",ritzau,Indland,2012-03-20 10:12:00+00:00,https://www.dr.dk/nyheder/indland/region-risikerer-politisag-efter-knivstik,DR
38,jobrotation i hvide kitler,"jobrotation er den bedste måde at få ledige sygeplejersker i job på, mener dansk sygeplejeråd i nordjylland, hvor der er jobrotationsprojekter i gang eller på vej, der omfatter cirka 30 sygeplejersker.",mindst 61 ledige nyuddannede sygeplejersker,"jobrotation er den bedste måde at få ledige sygeplejersker i job på. og i nordjylland er der jobrotationsprojekter i gang eller på vej, der omfatter cirka 30 sygeplejersker. det siger dansk sygeplejeråd, dsr, i nordjylland. det er aalborg kommune og region nordjylland, som har projekter i gang, hvor ledige roterer ind på stillinger til erstatning for faste medarbejdere på kursus og uddannelse. formand jytte wester foretrækker klart jobrotation frem for andre aktiveringsformer - fordi der her er tale om midlertidige stillinger på almindelige vilkår, det vil sige til overenskomstmæssig løn og med det samme ansvar som fastansatte. i modsætning til virksomhedspraktik eller job med løntilskud, hvor sygeplejersken kun modtager sine dagpenge og ikke må påtage sig særligt ansvar. dsr i nordjylland holdt forleden temamøde for nyuddannede, ledige sygeplejersker. dem var der i januar 61 af i landsdelen, plus de allersenest uddannede, som først tæller i statistikken senere i marts måned. anette lillelund fra sæby er en af de nyuddannede, ledige sygeplejersker, som efter mødet vil gå til sit jobcenter og bede om at komme i jobrotation. - her kommer man ind og får lov at vise, hvad man kan i et rigtigt job, hvor man må gøre det, som sygeplejersken i den faste stilling plejer at gøre, siger hun.",karin mette petersen,Nordjylland,2012-03-05 07:12:00+00:00,https://www.dr.dk/nyheder/regionale/nordjylland/jobrotation-i-hvide-kitler,DR
39,gå til sygeplejerske døgnet rundt,"døgnbemandede lægehuse skal være med til at forhindre unødige indlæggelser på sygehusene, foreslår kommunernes landsforening i et omfattende sundhedsudspil.",mere forebyggelse sygeplejersker: ja tak,"i hver kommune skal der være døgnbemandede lægehuse, hvor borgerne kan henvende sig, hvis de føler sig syge. det er et af 88 konkrete tilbud, som kommunernes landsforening i dag lægger på bordet i forbindelse med det kommunalpolitiske topmøde i aalborg. kommunerens landsforening lægger op til en fuldstændig omorganisering af sundhedsvæsenet, så danskerne for de samme penge får en betydelig bedre behandling. hovedtanken er at rykke sygeplejen meget tættere på borgerne og samtidig i langt højere grad end i dag forebygge sygdomme og sikre mere sammenhængende behandlingsforløb, når man er blevet syg. - kl og kommunernes bud på en ny sundhedspolitik tager udgangspunkt i, at flere patienter fremover skal plejes og efterbehandles i det nære sundhedsvæsen. kommunerne skal i højere grad forebygge, at borgerne indlægges unødigt bl.a. via akutpladser og døgnbemandet sygeplejeydelser, siger kl´s formand jan trøjborg. - efter udskrivning er det helt centralt, at patienterne modtager en effektiv rehabilitering i deres nærmiljø, så de hurtigt kan vende tilbage til deres hverdagsliv. i dag belønnes sygehusene for deres aktivitet.. det giver hospitalerne tilskyndelse til en masse behandlinger. men det er nu engang sådan, at investering i sygehusvæsenet giver flere patienter. mens investeringer i det nære sundhedsvæsen betyder mere sundhed og færre patienter, siger jan trøjborg. formanden for dansk sygeplejeråd grete christensen tager godt imod intentionerne i udspillet. - når jeg besøger kommuner og sygehuse, møder jeg mange sygeplejersker, som er i fuld gang med at udvikle bedre sundhedstilbud. men jeg hører også om mange uhensigtsmæssige forløb. ældre bliver først udsat for forvirrende og opslidende transport til et fjerntliggende akutsygehus. derefter bliver de udsat for et mindst lige så forvirrende og opslidende ophold på en overfyldt medicinsk afdeling. selvom de måske kun har en ukompliceret tilstand som dehydrering eller en urinvejsinfektion, siger grete christensen. - sådan et forløb skal tages i opløbet eller håndteres lokalt – enten i borgerens eget hjem, i plejeboligen eller i en kommunal akutenhed. hvis det skal lykkes, er det afgørende, at kommunerne opruster såvel kompetencer som de nære sundhedstilbud, siger grete christensen.",ole sønderup lorenzen,Politik,2012-03-15 08:21:00+00:00,https://www.dr.dk/nyheder/politik/gaa-til-sygeplejerske-doegnet-rundt,DR
40,overarbejde kan have konsekvenser på sygehusene,"sidste år arbejdede region nordjyllands sygeplejersker samlet set over i mere end 117.000 timer. det er ikke uden konsekvenser, mener dansk sygeplejeråd.",,"sygeplejerskerne på de nordjyske sygehuse arbejder så meget over, at det kan have konsekvenser for både personale og patienter. - det er klart, at når der ikke er en tilstrækkelig normering, går det ud over sygeplejen og ud over sygeplejen til patienterne, siger jytte wester, der er kredsformand for dansk sygeplejeråd i nordjylland. sidste år arbejdede region nordjyllands sygeplejersker samlet set over i mere end 117.000 timer. det svarer til, at hver eneste sygeplejerske arbejder én uge mere om året, end de reelt er ansat til. jytte wester er især nervøs for forholdene på regionens største sygehus i aalborg, hvor man er i gang med at omstrukturere. lisbeth lagoni, der er sygeplejefaglig direktør på aalborg sygehus, oplever det ikke som et kæmpe problem lige nu. men ledelsen vil have stor fokus på patientpleje og personaletrivsel i forbindelse med omstillingerne, fortæller hun.",anders molls axelsen,Nordjylland,2012-03-26 06:36:43+00:00,https://www.dr.dk/nyheder/regionale/nordjylland/overarbejde-kan-have-konsekvenser-paa-sygehusene,DR
42,besøg sygeplejersken når det passer,"ældre i hedensted skal nu ikke længere sidde og vente på besøg fra sygeplejersken. nu kan de besøge en ny sygeplejeklinik, når det passer dem.",,"nu behøver gamle mennesker ikke længere vente i timevis på et besøg fra sygeplejersken. i går blev en ny sygeplejeklinik nemlig indviet på plejecentret bøgely i hedensted, og her kan de ældre besøge en sygeplejerske, når det passer dem. - når en borger i en periode skal bruge en hjemmesygeplejerske flere dage om ugen, f.eks. i forbindelse med sårpleje, kan det betyde lange ventetider. det undgår vi med den nye ordning, siger elisabeth jakobsen til horsens folkeblad. hun er en af de to sygeplejersker, der er tilknyttet den nye klinik. der er allerede etableret lignende klinikker i juelsminde og uldum, hvor ordningen begyndte som et forsøg for halvandet år siden.",tine jensen,Trekantområdet,2012-03-08 12:02:00+00:00,https://www.dr.dk/nyheder/regionale/trekanten/besoeg-sygeplejersken-naar-det-passer,DR
49,alle nyuddannede sygeplejersker i arbejde,da 11 sygeplejersker blev nyuddannet i januar var ni arbejdsløse. nu har de alle fundet arbejde.,,"alle bornholmske sygeplejersker, der blev færdiguddannet i januar, har fået arbejde. det siger kirsa ahlebæk, der er rektor på bornholms sundheds- og sygeplejerskole. sidst i januar var ni ud af de 11 nyuddannede nemlig sendt ud i arbejdsøshed. men på lidt mere end to måneder har det billede altså ændret sig, så alle elleve har fundet arbejde, siger en stolt kirsa ahlebæk. - de har fået arbejde i hovedstadsområdet, hvor der er ret høj arbejdsløshed. jobbene har de jo fået i kamp med andre nyuddannede og nogle med erfaring fra hovedstadsområet, siger hun. generelt ender sygeplejerskerne fra bornholm sjældent i arbejdsløshed.",andreas just,Bornholm,2012-04-10 12:35:00+00:00,https://www.dr.dk/nyheder/regionale/bornholm/alle-nyuddannede-sygeplejersker-i-arbejde,DR
