titles,sub_header,h2,content,author,tag,date,link,source
Bil bragede ind i hus,"Beboere i et hus i Houlbjerg ved Langå fik i går eftermiddags uventede gæster, da en 40-årig mand kørte direkte ind i husets endegavl.",,"Beboere i et hus i Houlbjerg ved Langå fik i går eftermiddags uventede gæster, da en 40-årig mand kørte gennem deres hæk og fortsatte direkte ind i husets endegavl. Ulykken fik politiet til at spærre huset af, af frygt for at det ville styrte sammen. Brandvæsnet blev også tilkaldt, da der var nogle gasflasker inde i huset, som man frygtede kunne eksplodere, men den frygt blev dog hurtigt afværget. Den 40-årige chauffør blev kørt til sygehuset i Randers. Han mistænkes for at have været påvirket af stoffer eller alkohol, og politiet afventer nu svar på blodprøver.",Janni Lundager,Østjylland,2012-01-11T05:40:46+00:00,https://www.dr.dk/nyheder/regionale/oestjylland/bil-bragede-ind-i-hus,DR
Noah: Noah,"Duoen NOAH's singler har høstet dobbeltplatin for mere end 7,5 millioner streams forud for debutalbummet, som udkom 20. maj",,"Den unge popduo NOAH gjorde sit indtog på P4s spillelister allerede sidste år med singlerne ""Alt er forbi"" og ""Over byen"", der begge gik hen og blev store radiohits, og senest er tredjesinglen ""Det' okay"" gået direkte #1 på iTunes. NOAH har samtidig vist sig som en af landets mest populære navne på det nye streaming-marked og har i den forbindelse høstet dobbeltplatin for mere end 7.5 millioner streams, hvilket har sat ekstra skub i interessen omkring duoens debutalbum, der kommer på gaden 20. maj. Troels Gustavsen var blot 18 år og gymnasieelev på Nykøbing Falster Katedralskole, da hans første soloudspil ""Soon"" udkom i foråret 2007 og blev Ugens Album på P4. Året efter dannede han NOAH med sin skolekammerat Lasse Dyrholm, og efter et par års indledende manøvrer gik det pludselig stærkt for de to venner. Det, der startede med en fælles kærlighed til musik, tog fart, da gruppen uploadede en demo af ""Alt er forbi"" på YouTube, hvilket hurtigt skabte opmærksomhed blandt pladeselskaber, medier og fans. En pladekontrakt kom i hus og de vokaler, der oprindeligt var indspillet i en sen nattetime i et lille gæsteværelse i Slagelse, endte med at komme med på den færdige udgave af debutsinglen, der lå klar i januar 2012. NOAHs debutalbum er skrevet, komponeret og produceret af Gustavsen og Dyrholm selv. Deres musikalske univers fortæller ifølge pressemeddelelsen om 'drømme, håb og sorger gennem fængende popmelodier, hvor der er plads til både ensom melankoli og spirende lykke'. Udover de tre nævnte singleudspil kan P4-lytterne i ugens løb møde nye NOAH-sange som ""Ekko"", ""Dine fodspor"", ""Tilbage til mig selv"", ""Mælkevej"" og ""Kun dig og mig"". Henover sommeren spiller NOAH på flere af landets festivaler med deres band, der består af Kasper Falkenberg (guitar), Peter Buch (bas) og Jesper Thomsen (trommer), og vil til efteråret tage på deres første selvstændige danmarksturné.",,Regionalt,2012-01-27T13:32:00+00:00,https://www.dr.dk/nyheder/regionale/noah-noah,DR
To døde af legionærsyge,To ældre koldingensere er døde af legionærsyge og to andre har været smittet i løbet af en kort periode. ,,"To ældre koldingensere er døde af legionærsyge og to andre har været smittet.De fire ældre har været ramt af den sjældne sygdom over en periode af få måneder. Men embedslæge Henrik Hansen afviser at der er tale om en fælles smittekilde. Legionærsyge skyldes ofte at mennesker bliver smittet med den farlige bakterie gennem vand - f.eks. i et svømmebad, eller hvis vandet i et område er for lunket. Men det er ikke tilfældet i Kolding, siger Henrik Hansen: - Vi har ikke fundet en fælles kilde, så vi har intet belæg for at koble de her fire sager sammen, siger han til Jydske Vestkysten. Embedslægerne opfordrer ejerne af husene, hvor de ældre mennesker boede, til at gennemgå deres vandsystemer grundigt.  ",Jan Laursen,Trekantområdet,2012-01-13T05:36:25+00:00,https://www.dr.dk/nyheder/regionale/trekanten/doede-af-legionaersyge,DR
Pia K om Breivikteater: Jeg har kvalme,Caféteatrets kommende teaterstykke basseret på Anders Behring Breiviks manifest møder stærk kritik på Christiansborg.,,"- Jeg har kvalme, jeg synes, at det er så usmageligt, det er pinligt, og jeg synes, det er flovt, at Caféteatret kan finde på det, lyder det fra Dansk Folkepartis leder, Pia Kjærsgaard. At bruge tid på Anders Behring Breivik i et teaterstykke er at give ham unødig opmærksomhed, mener hun. - Han skal sidde isoleret i resten af sit liv i fængslet. Vi skal ikke beskæftige os med ham og hans syge tanker. Jeg synes, at det er så forkasteligt, at jeg ikke har ord for det, siger Pia Kjærsgaard. Kulturens evne til at skabe debat er ikke aktuel i dette tilfælde, mener Pia Kjærsgaard. - Jeg synes ikke, at der er nogen udfordring overhovedet. For der er jo ikke delte meninger om det her. Det er ikke noget man kan sidde og diskutere, om det er rigtigt eller ondt, det han har gjort. Det er kun ondt, siger hun. - Det er så tarveligt overfor de pårørende, og jeg synes, at man burde tænke sig om.",Kasper Hartmann,Politik,2012-01-19T10:19:00+00:00,https://www.dr.dk/nyheder/politik/pia-k-om-breivikteater-jeg-har-kvalme,DR
BILLEDSERIE: Gallataffel på Christiansborg,,,,Morten Greve,,2012-01-15 00:00:00,https://www.dr.dk/nyheder/temaer/2012/dronning/2012/01/15/15200219.htm?focusId=3573180,DR
Mere om projektet,"Aftenshowet, Skønlitteratur på P1 og P1-programmet Apropos har i en række programmer sat fokus på hemmeligheder. Se og hør dem her.",,,,Kultur,2012-01-27T10:41:00+00:00,https://www.dr.dk/nyheder/kultur/mere-om-projektet,DR
Landsby vil have københavnere,Den lille sønderjyske landsby Branderup går nu i offensiven for at lokke københavnere til byen.,Naturen skal sælge,"Landsbyen Branderup vil, hvis alt går efter planen, snart være at finde i københavnske aviser. Det sker i et forsøg på at lokke københavnere til at flytte til den lille by ved Tønder.  750 indbyggere ikke nokByens 750 indbyggere er nemlig ikke nok til at sikre byens fremtid, mener Mie Thomsen. Hun er medlem af lokalrådet og tovholder på projektet, der har fået tildelt 155.000 LAG- og landistrikstkroner til formålet. - Vi er nødt til at prøve at reklamere for de goder, der er på landet, siger Mie Thomsen til dr.dk/p4. I annoncerne vil de lokke københavnere til at komme på besøg i Branderup til maj, hvor der vil være et åben landsby-arrangement. Her vil de sælge byen på den flotte natur og fællesskabet. Og selvom det ikke vrimler med jobs i Branderup, så mener Mie Thomsen, at den centrale placering er en stor fordel. - Vi ligger jo lige præcis midt i det sønderjyske. Vi har jo lige langt til Ribe, Tønder, Aabenraa og Haderslev, så det er jo ikke slemt. Folk kører jo langt nu om stunder for at komme på arbejde, så det er ikke det, der skulle afskrække. Og det er det, vi prøver at reklamere lidt for, for at få folk herud, siger hun.",Anne-Mette Lorentzen,København,2012-01-24T05:41:00+00:00,https://www.dr.dk/nyheder/regionale/hovedstadsomraadet/landsby-vil-have-koebenhavnere,DR
Dronningen deler sine minder om Danmark,,,,Karin Palshøj,,2012-01-09 00:00:00,https://www.dr.dk/Nyheder/Temaer/2012/Dronning/2012/01/09/100643.htm?rss=true,DR
Regeringen lyn-lukker Værdikommissionen,"Kulturminister Uffe Elbæk nedlægger med øjeblikkelig virkning Værdikommissionen. Den var for diffus, siger han.",Diffust Leverer ikke honorar tilbage,"Efter et speget forløb nedlægger kulturminister Uffe Elbæk (R) nu én gang for alle Værdikommissionen, der skulle ""kortlægge danskernes værdier"", men som i månedsvis har ligget underdrejet efter regeringsskiftet. En enkelt debatrunde blev det til for kommissionens 11 medlemmer, der netop har fået udbetalt 70.000 kroner hver af staten for ulejligheden. - Jeg vil gerne benytte lejligheden til at takke kommissionens medlemmer for deres store indsats. Jeg vil gerne understrege, at jeg ikke har noget at udsætte på det arbejde, som kommissionens medlemmer har udført, skriver Uffe Elbæk i en pressemeddelelse. - Men den opgave, som Værdikommissionen skulle løse, var for åbent og diffust formuleret. Derfor har vi i regeringen valgt at prioritere ressourcerne anderledes, lyder det fra ministeren. Den nye regering fastslog fra første færd, at man ville lukke Værdikommissionen, der oprindelig var Kristendemokraternes idé. Men lukningen lod vente på sig. Også selvom kommissionsformand og biskop i Ribe Stift Elisabeth Dons Christensen flere gange forsøgte at hive en beslutning ud af ministeren. - Vi ville da godt have fortsat arbejdet, men når det så ikke kunne lade sig gøre, så er det da rart, at ministeren nu har truffet en beslutning. Hun skrev allerede i december til Kulturministeriet for at høre, om arbejdet skulle fortsætte, men der kom aldrig noget svar. Som kommissionsformand står Elisabeth Dons Christensen til at modtage 140.000 kroner for sit arbejde. Selvom hun har udtrykt ærgrelse over at modtage penge ""for noget, man ikke laver"", så har hun ikke i sinde at levere honoraret tilbage til staten. Værdikommissionen talte medlemmer som journalist Jens Gaardbo, redaktør Rune Lykkeberg, skuespiller Farshad Kholghi og sociolog Henrik Dahl.",Ritzau/,Politik,2012-01-26T15:12:00+00:00,https://www.dr.dk/nyheder/politik/regeringen-lyn-lukker-vaerdikommissionen,DR
Gæsterne til gallataffel på Christiansborg,,,,Karin Palshøj,,2012-01-15 00:00:00,https://www.dr.dk/Nyheder/Temaer/2012/Dronning/2012/01/15/131842.htm?focusId=3549664,DR
Sygeplejersker vil skære i nattevagter,Risiko for at natarbejde er kræftfremkaldende får sygeplejerskerne til at kræve højst to nattevagter i træk.,Færre nattevagter Fast døgnrytme er vigtig,"Dansk Sygeplejeråd, der repræsenterer landets omkring 70.000 sygeplejersker, mener, at det skal være muligt for medarbejdere kun at tage højst to nattevagter i træk. Meldingen kommer på baggrund af anbefalinger fra danske og internationale eksperter til, hvordan man forebygger brystkræft ved natarbejde. Blandt rådene er hurtigt roterende vagtskift med kun en til to på hinanden følgende nattevagter fremfor tre eller flere nattevagter i træk. - Det er rigtig godt, at eksperterne kommer med nogle konkrete anbefalinger. Og højst to nattevagter i træk er i mine øjne den klareste anbefaling af alle, siger Dorte Steenberg, næstformand i Dansk Sygeplejeråd, og fortsætter: - Jeg går nu ud fra, at arbejdsgiverne vil tage ansvar og sørge for, at det bliver muligt for medarbejderne at følge eksperternes råd. - Det er jo helt nødvendigt, at sygeplejersker arbejder om natten og tager sig af patienter. - Men når undersøgelser har vist en klar sammenhæng mellem brystkræft og natarbejde, så har vi en forpligtelse til at gøre alt, hvad vi kan for at forebygge, at medarbejdere bliver syge, siger hun. En anden ekspertanbefaling er at tilrettelægge arbejdet med uret. Så ens vagter går fra dag til aften, fra aften til nat og fra nat til dag. Ifølge undersøgelser giver det mindre forstyrrelse af døgnrytmen. - Hvis døgnrytmen hele tiden bliver udfordret, så stresser man kroppen, og det kan have en meget negativ effekt. - Derfor er det helt afgørende, at man sørger for at lave nogle vagtplaner, som følger med uret, så der er mindst muligt pres på, og forløbene bliver mere naturlige,"" siger Dorte Steenberg. /ritzau/",Ritzau,Indland,2012-02-21T10:48:00+00:00,https://www.dr.dk/nyheder/indland/sygeplejersker-vil-skaere-i-nattevagter,DR
Udenlandske sygeplejersker er taget hjem,Det er slut med sygeplejerudtryk på gebrokkent dansk på de nordjyske sygehuse.,,"Det er slut med sygeplejerudtryk på gebrokkent dansk på de nordjyske sygehuse. For få år siden måtte sygehusene importere sygeplejersker fra Tyskland. Men siden har besparelser betydet, at der er ledige danske sygeplejersker, så nu er der ikke længere bruge for at hente sygeplejersker fra andre lande. - I øjeblikket er der ingen interesse for at rekruttere udenlandske sygeplejersker, fortæller Jytte Wester. Hun er formand for Dansk Sygeplejeråd i Nordjylland. Tilbage i 2008 skulle hun håndtere, at Region Nordjylland lavede en aftale med mere end 40 tyske sygeplejersker, fordi der manglede arbejdskraft. Men i dag må Jytte Wester i stedet guide medlemmer, der ikke kan få arbejde. - I øjeblikket er det den værste situation vi har haft i mange år. Vi har arbejdsløse sygeplejersker, og den kø vokser og vokser, siger hun. Den gang brugte Regionen mange penge på at lære de udenlandske sygeplejersker dansk og integrere dem. Og det var en nødvendighed, mener Jytte Wester. - Det var en hjælp til at få tilstrækkelig med arbejdskraft, at man gjorde en indsats for at få tilstrækkeligt med sygeplejersker, siger hun.",Mikkel From Nielsen,Nordjylland,2012-02-27T15:26:00+00:00,https://www.dr.dk/nyheder/regionale/nordjylland/udenlandske-sygeplejersker-er-taget-hjem,DR
Sygeplejersker uddanner sig til ledighed,85 procent af de nyuddannede sygeplejersker fra uddannelserne i Viborg og Holstebro er arbejdsløse.,Fyringer gør det sværere Jobmesse og jobrotation,"Sygeplejersker bliver i stor stil uddannet til ledighed. 85 procent af de nyuddannede sygeplejersker fra uddannelserne i Viborg og Holstebro er arbejdsløse. - Så går der tre og et halvt år med SU og studie, og så kommer man ud på et arbejdsmarked, hvor der ikke er noget arbejde at få, siger Anita Staarup, som en af de nyuddannede sygeplejersker. Alle de nyuddannede fra Holstebro kommer ud til arbejdsløshed, mens kun syv sygeplejersker fra uddannelsen i Viborg har et job. Det seneste halve års tid er op mod 200 sygeplejersker blevet fyret ved Hospitalsenheden Vest og på sygehuset i Viborg. Det giver endnu ringere chancer, lyder det fra Dansk Sygeplejeråd. - På grund af de store besparelser vi har været igennem i Region Midtjylland, så er der jo kommet en del ledige sygeplejersker, samtidig med at de nyuddannede har meget svært ved at få job, siger Bente Rasmussen, der er næstformand for sygeplejerskerne i Region Midtjylland. Det betyder, at nogle sygeplejersker søger mod udlandet - for eksempel Norge, hvor der er arbejde at få. Dansk Sygeplejeråd i Region Midtjylland holder en jobmesse den 6. marts, hvor der også bliver mulighed for at høre om ledige stillinger i Norge. I Viborg Kommune kører der et projekt med jobrotation for sygeplejersker. Det arbejder Dansk Sygeplejeråd også på at starte op i Holstebro-området. Lige nu er der i alt 237 ledige sygeplejersker i Region Midtjylland.",Pia Stenbæk,Midt- og Vestjylland,2012-02-07T18:02:07+00:00,https://www.dr.dk/nyheder/regionale/midtvest/sygeplejersker-uddanner-sig-til-ledighed,DR
Finder hurtigere arbejde,Arbejdsløsheden for nyuddannede sygeplejersker er på to år tordnet op fra to til 17 procent. Den laveste andel er dog stadig i Syddanmark.,,"Nyuddannede sygeplejersker har svært ved at finde arbejde. 17 procent af de nyuddannede fra sidste sommers hold har trillet tommelfingre i lang tid. Men i Syddanmark er billedet lidt mere positivt. Det glæder formanden for Dansk Sygeplejeråd i Syddanmark, John Christiansen. - Den primære forklaring er, at især sygehusområdet har indset, at det er vigtigt at have en lidt højere normering end at bruge eksterne vikarer. Så det betyder, at man har fastansat lidt flere sygeplejerske på sygehusområdet end tidligere, siger han Den hurtigere adgang til arbejdsmarkedet er ifølge sygeplejerskenes formand vigtigt for at få en god start i faget. - Det gør jo, at man rodfæstes meget hurtigere, og for den enkelte sygeplejerske betyder det, at man bedre kan etablere sig i sit private liv. Det betyder også, at sandsynligheden for, at de bliver indenfor sygeplejerskefaget er meget, meget større, siger John Christiansen.",Rasmus Kjølby,Trekantområdet,2012-02-15T07:02:00+00:00,https://www.dr.dk/nyheder/regionale/trekanten/finder-hurtigere-arbejde,DR
Marlene står frem: - Han maltrakterede min krop og mit ansigt,"Marlene Duus fortæller i Aftenshowet i aften om hvordan hendes liv, som hun kendte det, for tre år siden blev smadret af en voldelig ekskæreste. ",,"- Han maltrakterede min krop og mit ansigt med et tungt vandrør. Dernæst kastede han min bevidstløse krop ud fra tredje sal. Det er tre år siden. Jeg var godt i gang med min karriere i modebranchen, var aktiv og livsglad. Det liv eksisterer nu kun i savn og billeder. Sådan skrev Marlene Duus mandag i en kronik i Politiken og siden har hendes historie om forskelsbehandlingen på voldsoffer og voldsmand skabt massiv debat i landets medier. I aften er hun gæst i Aftenshowet på DR1. Her vil flere retsordførere også blive spurgt, om det kan være rigtigt, at man i Danmark hjælper voldsmænd mere end voldsofre? Se med i aften på DR1 fra klokken 19.00.",Jesper Helmer,Indland,2012-02-21T12:36:00+00:00,https://www.dr.dk/nyheder/indland/marlene-staar-frem-han-maltrakterede-min-krop-og-mit-ansigt,DR
